U+4E01		丁	⿱一亅
U+59BE		妾	⿱立女
U+59C6		姆	⿰女母
U+59CA		姊	⿰女𠂔
U+59CB		始	⿰女台
U+59CD		姍	⿰女冊
U+59D0		姐	⿰女且
U+59D1		姑	⿰女古
U+59D2		姒	⿰女以
U+59D3		姓	⿰女生
U+59D4		委	⿱禾女
U+59D8		姘	⿰女并
U+59DA		姚	⿰女兆
U+59DC		姜	⿱𦍌女
U+59E3		姣	⿰女交
U+59E5		姥	⿰女老
U+59E6		姦	⿱女奻
U+59E8		姨	⿰女夷
U+59EA		姪	⿰女至
U+59EC		姬	⿰女𦣞
U+59FB		姻	⿰女因
U+59FF		姿	⿱次女
U+5A01		威	⿵戌女
U+5A03		娃	⿰女圭
U+5A0C		娌	⿰女里
U+5A11		娑	⿱沙女
U+5A13		娓	⿰女尾
U+5A18		娘	⿰女良
U+5A1B		娛	⿰女吳
U+5A1C		娜	⿰女那
U+5A1F		娟	⿰女肙
U+5A20		娠	⿰女辰
U+5A23		娣	⿰女弟
U+5A25		娥	⿰女我
U+5A29		娩	⿰女免
U+5A36		娶	⿱取女
U+5A3C		娼	⿰女昌
U+5A40		婀	⿰女阿
U+5A41		婁	婁
U+5A46		婆	⿱波女
U+5A49		婉	⿰女宛
U+5A4A		婊	⿰女表
U+5A5A		婚	⿰女昏
U+5A62		婢	⿰女卑
U+5A66		婦	⿰女帚
U+5A6A		婪	⿱林女
U+5A77		婷	⿰女亭
U+5A7F		婿	⿰女胥
U+5A92		媒	⿰女某
U+5A9A		媚	⿰女眉
U+5A9B		媛	⿰女爰
U+5AB2		媲	⿰女𣬉
U+5AB3		媳	⿰女息
U+5ABC		媼	⿰女𥁕
U+5ABD		媽	⿰女馬
U+5ABE		媾	⿰女冓
U+5AC1		嫁	⿰女家
U+5AC2		嫂	⿰女叟
U+5AC9		嫉	⿰女疾
U+5ACC		嫌	⿰女兼
U+5AD6		嫖	⿰女票
U+5AD7		嫗	⿰女區
U+5AD8		嫘	⿰女累
U+5AE1		嫡	⿰女啇
U+5AE3		嫣	⿰女焉
U+5AE6		嫦	⿰女常
U+5AE9		嫩	⿰女敕
U+5AF5		嫵	⿰女無
U+5AFB		嫻	⿰女閑
U+5B09		嬉	⿰女喜
U+5B0B		嬋	⿰女單
U+5B0C		嬌	⿰女喬
U+5B1D		嬝	⿰女裊
U+5B24		嬤	⿰女麼
U+5B2A		嬪	⿰女賓
U+5B30		嬰	⿱賏女
U+5B34		嬴	⿱吂⿲月女凡
U+5B38		嬸	⿰女審
U+5B40		孀	⿰女霜
U+5B50		子	子
U+5B51		孑	孑
U+5B53		孓	孓
U+5B54		孔	⿰子乚
U+5B55		孕	⿱乃子
U+5B57		字	⿱宀子
U+5B58		存	存
U+5B5A		孚	⿱爫子
U+5B5C		孜	⿰子攵
U+5B5D		孝	⿸耂子
U+5B5F		孟	⿱子皿
U+5B63		季	⿱禾子
U+5B64		孤	⿰子瓜
U+5B69		孩	⿰子亥
U+5B6B		孫	⿰子系
U+5B70		孰	⿰享丸
U+5B71		孱	⿸尸孨
U+5B73		孳	⿱兹子
U+5B75		孵	⿰卵孚
U+5B78		學	⿱𦥯子
U+5B7A		孺	⿰子需
U+5B7D		孽	⿱薛子
U+5B7F		孿	⿱䜌子
U+5B83		它	⿱宀匕
U+5B85		宅	⿱宀乇
U+5B87		宇	⿱宀于
U+5B88		守	⿱宀寸
U+5B89		安	⿱宀女
U+5B8B		宋	⿱宀木
U+5B8C		完	⿱宀元
U+5B8F		宏	⿱宀厷
U+5B97		宗	⿱宀示
U+5B98		官	⿱宀㠯
U+5B99		宙	⿱宀由
U+5B9A		定	⿱宀𤴓
U+5B9B		宛	⿱宀夗
U+5B9C		宜	⿱宀且
U+5BA2		客	⿱宀各
U+5BA3		宣	⿱宀亘
U+5BA4		室	⿱宀至
U+5BA5		宥	⿱宀有
U+5BA6		宦	⿱宀臣
U+5BAE		宮	⿱宀呂
U+5BB0		宰	⿱宀辛
U+5BB3		害	⿱𫲸口
U+5BB4		宴	⿱宀妟
U+5BB5		宵	⿱宀肖
U+5BB6		家	⿱宀豕
U+5BB8		宸	⿱宀辰
U+5BB9		容	⿱宀谷
U+5BBF		宿	⿱宀佰
U+5BC2		寂	⿱宀叔
U+5BC4		寄	⿱宀奇
U+5BC5		寅	⿱宀⿳一由八
U+5BC6		密	⿱宓山
U+5BC7		寇	⿱宀⿺元攴
U+5BCC		富	⿱宀畐
U+5BD0		寐	⿱宀⿰爿未
U+5BD2		寒	⿱𡨄⺀
U+5BD3		寓	⿱宀禺
U+5BDE		寞	⿱宀莫
U+5BDF		察	⿱宀祭
U+5BE1		寡	⿳宀⿱丆且分
U+5BE2		寢	⿱宀𭷆
U+5BE4		寤	⿱宀𤕻
U+5BE5		寥	⿱宀翏
U+5BE6		實	⿱宀貫
U+5BE7		寧	⿱寍丁
U+5BE8		寨	⿱𡨄木
U+5BE9		審	⿱宀番
U+5BEB		寫	⿱宀舄
U+5BEC		寬	⿱宀萈
U+5BEE		寮	⿱宀尞
U+5BF5		寵	⿱宀龍
U+5BF6		寶	⿱𡩧貝
U+5BF8		寸	寸
U+5BFA		寺	⿱土寸
U+5C01		封	⿰圭寸
U+5C04		射	⿰身寸
U+5C07		將	⿰爿⿱⿴𠂊冫寸
U+5C08		專	專
U+5C09		尉	⿰𫵖寸
U+5C0A		尊	⿱酋寸
U+5C0B		尋	⿳彐⿰工口寸
U+5C0D		對	⿰⿱业𦍌寸
U+5C0E		導	⿱道寸
U+5C0F		小	小
U+5C11		少	⿱小丿
U+5C16		尖	⿱小大
U+5C1A		尚	⿱⺌冋
U+5C24		尤	⿺尢丶
U+5C2C		尬	⿺尢介
U+5C31		就	⿰京尤
U+5C37		尷	⿺尢監
U+5C38		尸	尸
U+5C39		尹	尹
U+5C3A		尺	尺
U+5C3C		尼	⿸尸匕
U+5C3E		尾	⿸尸毛
U+5C3F		尿	⿸尸水
U+5C40		局	⿸尸⿹𠃌口
U+5C41		屁	⿸尸比
U+5C45		居	⿸尸古
U+5C46		屆	⿸尸凷
U+5C48		屈	⿸尸出
U+5C4B		屋	⿸尸至
U+5C4D		屍	⿸尸死
U+5C4E		屎	⿸尸米
U+5C4F		屏	⿸尸并
U+5C50		屐	⿸尸𫹍
U+5C51		屑	⿸尸肖
U+5C55		展	⿸尸⿱龷⿰𠄌⿺乀丿
U+5C5C		屜	⿸尸⿰彳世
U+5C60		屠	⿸尸者
U+5C62		屢	⿸尸婁
U+5C64		層	⿸尸曾
U+5C65		履	⿸尸復
U+5C6C		屬	屬
U+5C6F		屯	屯
U+5C71		山	山
U+5C79		屹	⿰山乞
U+5C8C		岌	⿱山及
U+5C90		岐	⿰山支
U+5C91		岑	⿱山今
U+5C94		岔	⿱分山
U+5CA1		岡	⿵冂⿱䒑山
U+5CA9		岩	⿱山石
U+5CAB		岫	⿰山由
U+5CB1		岱	⿱代山
U+5CB3		岳	⿱丘山
U+5CB7		岷	⿰山民
U+5CB8		岸	⿱山厈
U+5CD9		峙	⿰山寺
U+5CE8		峨	⿰山我
U+5CEA		峪	⿰山谷
U+5CED		峭	⿰山肖
U+5CF0		峰	⿰山夆
U+5CF6		島	島
U+5CFB		峻	⿰山夋
U+5CFD		峽	⿰山夾
U+5D01		崁	⿱山坎
U+5D06		崆	⿰山空
U+5D07		崇	⿱山宗
U+5D0E		崎	⿰山奇
U+5D11		崑	⿱山昆
U+5D14		崔	⿱山隹
U+5D16		崖	⿱山厓
U+5D19		崙	⿱山侖
U+5D1B		崛	⿰山屈
U+5D22		崢	⿰山爭
U+5D29		崩	⿱山朋
U+5D4C		嵌	⿱山𣢟
U+5D50		嵐	⿱山風
U+5D69		嵩	⿱山高
U+5D84		嶄	⿱山斬
U+5D87		嶇	⿰山區
U+5D9D		嶝	⿰山登
U+5DBA		嶺	⿱山領
U+5DBC		嶼	⿰山與
U+5DBD		嶽	⿱山獄
U+5DCD		巍	⿱山魏
U+5DD2		巒	⿱䜌山
U+5DD4		巔	⿱山顛
U+5DD6		巖	⿱山嚴
U+5DDD		川	川
U+5DDE		州	州
U+5DE1		巡	⿺辶巛
U+5DE2		巢	⿱巛果
U+5DE5		工	工
U+5DE6		左	⿸𠂇工
U+5DE7		巧	⿰工丂
U+5DE8		巨	巨
U+5DEB		巫	巫
U+5DEE		差	⿸羊工
U+5DF1		己	己
U+5DF2		已	已
U+5DF3		巳	巳
U+5DF4		巴	巴
U+5DF7		巷	⿱共巳
U+5DFD		巽	⿱⿰巳巳共
U+5DFE		巾	巾
U+5E02		市	⿱亠巾
U+5E03		布	⿸𠂇巾
U+5E06		帆	⿰巾凡
U+5E0C		希	⿱㐅布
U+5E11		帑	⿱奴巾
U+5E15		帕	⿰巾白
U+5E16		帖	⿰巾占
U+5E18		帘	⿱穴巾
U+5E1A		帚	⿳彐冖巾
U+5E1B		帛	⿱白巾
U+5E1D		帝	⿱⿱⿱亠丷冖巾
U+5E25		帥	⿰𠂤巾
U+5E2B		師	⿰𠂤帀
U+5E2D		席	⿸广⿱廿巾
U+5E33		帳	⿰巾長
U+5E36		帶	帶
U+5E37		帷	⿰巾隹
U+5E38		常	⿱𫩠巾
U+5E3D		帽	⿰巾冒
U+5E40		幀	⿰巾貞
U+5E45		幅	⿰巾畐
U+5E4C		幌	⿰巾晃
U+5E54		幔	⿰巾曼
U+5E57		幗	⿰巾國
U+5E5B		幛	⿰巾章
U+5E5F		幟	⿰巾戠
U+5E62		幢	⿰巾童
U+5E63		幣	⿱敝巾
U+5E6B		幫	⿱封帛
U+5E72		干	干
U+5E73		平	平
U+5E74		年	年
U+5E76		并	⿱丷开
U+5E78		幸	⿱土𢆉
U+5E79		幹	⿰𠦝𫢉
U+5E7B		幻	⿰幺𠃌
U+5E7C		幼	⿰幺力
U+5E7D		幽	幽
U+5E7E		幾	幾
U+5E87		庇	⿸广比
U+5E8A		床	⿸广木
U+5E8F		序	⿸广予
U+5E95		底	⿸广氐
U+5E96		庖	⿸广包
U+5E97		店	⿸广占
U+5E9A		庚	庚
U+5E9C		府	⿸广付
U+5EA0		庠	⿸广羊
U+5EA6		度	⿸广⿱廿又
U+5EA7		座	⿸广坐
U+5EAB		庫	⿸广車
U+5EAD		庭	⿸广廷
U+5EB5		庵	⿸广奄
U+5EB6		庶	⿸广⿱廿灬
U+5EB7		康	⿸广隶
U+5EB8		庸	⿸广𬎾
U+5EBE		庾	⿸广臾
U+5EC1		廁	⿸广則
U+5EC2		廂	⿸广相
U+5EC8		廈	⿸广夏
U+5EC9		廉	⿸广兼
U+5ECA		廊	⿸广郎
U+5ED3		廓	⿸广郭
U+5ED6		廖	⿸广翏
U+5EDA		廚	⿸广尌
U+5EDD		廝	⿸广斯
U+5EDF		廟	⿸广朝
U+5EE0		廠	⿸广敞
U+5EE2		廢	⿸广發
U+5EE3		廣	⿸广黄
U+5EEC		廬	⿸广盧
U+5EF3		廳	⿸广聽
U+5EF6		延	⿺廴⿱丿止
U+5EF7		廷	⿺廴壬
U+5EFA		建	⿺廴聿
U+5EFF		廿	廿
U+5F01		弁	⿱厶廾
U+5F04		弄	⿱王廾
U+5F08		弈	⿱亦廾
U+5F0A		弊	⿱敝廾
U+5F0F		式	⿹弋工
U+5F12		弒	⿰𣏂式
U+5F13		弓	弓
U+5F14		弔	弔
U+5F15		引	⿰弓丨
U+5F17		弗	弗
U+5F18		弘	⿰弓厶
U+5F1B		弛	⿰弓也
U+5F1F		弟	⿱丷𢎨
U+5F26		弦	⿰弓玄
U+5F27		弧	⿰弓瓜
U+5F29		弩	⿱奴弓
U+5F2D		弭	⿰弓耳
U+5F31		弱	⿰⿹弓冫⿹弓冫
U+5F35		張	⿰弓長
U+5F37		強	⿰弓𧈧
U+5F3C		弼	⿲弓百弓
U+5F46		彆	⿱敝弓
U+5F48		彈	⿰弓單
U+5F4C		彌	⿰弓爾
U+5F4E		彎	⿱䜌弓
U+5F57		彗	⿱⿰丰丰彐
U+5F59		彙	⿳彑冖果
U+5F62		形	⿰开彡
U+5F64		彤	⿰丹彡
U+5F65		彥	⿱文⿸厂彡
U+5F69		彩	⿰采彡
U+5F6A		彪	⿺虎彡
U+5F6B		彫	⿰周彡
U+5F6C		彬	⿰林彡
U+5F6D		彭	⿰壴彡
U+5F70		彰	⿰章彡
U+5F71		影	⿰景彡
U+5F77		彷	⿰彳方
U+5F79		役	⿰彳殳
U+5F7C		彼	⿰彳皮
U+5F7F		彿	⿰彳弗
U+5F80		往	⿰彳主
U+5F81		征	⿰彳正
U+5F85		待	⿰彳寺
U+5F87		徇	⿰彳旬
U+5F88		很	⿰彳艮
U+5F8A		徊	⿰彳回
U+5F8B		律	⿰彳聿
U+5F8C		後	⿰彳⿱幺夂
U+5F90		徐	⿰彳余
U+5F91		徑	⿰彳巠
U+5F92		徒	⿰彳走
U+5F97		得	⿰彳㝵
U+5F98		徘	⿰彳非
U+5F99		徙	⿰彳歨
U+5F9E		從	⿰彳⿱从龰
U+5FA1		御	⿰彳卸
U+5FA8		徨	⿰彳皇
U+5FA9		復	⿰彳复
U+5FAA		循	⿰彳盾
U+5FAC		徬	⿰彳旁
U+5FAE		微	⿰彳𢼸
U+5FB5		徵	⿰彳𢽠
U+5FB7		德	⿰彳𢛳
U+5FB9		徹	⿲彳育攵
U+5FBD		徽	⿰彳𢾰
U+5FC3		心	心
U+5FC5		必	必
U+5FCC		忌	⿱己心
U+5FCD		忍	⿱刃心
U+5FD6		忖	⿰忄寸
U+5FD7		志	⿱士心
U+5FD8		忘	⿱亡心
U+5FD9		忙	⿰忄亡
U+5FDD		忝	⿱天㣺
U+5FE0		忠	⿱中心
U+5FEB		快	⿰忄夬
U+5FF1		忱	⿰忄冘
U+5FF5		念	⿱今心
U+5FFD		忽	⿱勿心
U+5FFF		忿	⿱分心
U+600E		怎	⿱乍心
U+600F		怏	⿰忄央
U+6012		怒	⿱奴心
U+6014		怔	⿰忄正
U+6015		怕	⿰忄白
U+6016		怖	⿰忄布
U+601D		思	⿱田心
U+6020		怠	⿱台心
U+6021		怡	⿰忄台
U+6025		急	⿱刍心
U+6027		性	⿰忄生
U+6028		怨	⿱夗心
U+602A		怪	⿰忄圣
U+602F		怯	⿰忄去
U+6035		怵	⿰忄术
U+6043		恃	⿰忄寺
U+6046		恆	⿰忄亙
U+604D		恍	⿰忄光
U+6050		恐	⿱巩心
U+6055		恕	⿱如心
U+6059		恙	⿱𦍌心
U+6062		恢	⿰忄灰
U+6063		恣	⿱次心
U+6064		恤	⿰忄血
U+6065		恥	⿰耳心
U+6068		恨	⿰忄艮
U+6069		恩	⿱因心
U+606A		恪	⿰忄各
U+606B		恫	⿰忄同
U+606C		恬	⿰忄舌
U+606D		恭	⿱共㣺
U+606F		息	⿱自心
U+6070		恰	⿰忄合
U+607F		恿	⿱甬心
U+6084		悄	⿰忄肖
U+6085		悅	⿰忄兌
U+6089		悉	⿱釆心
U+608C		悌	⿰忄弟
U+608D		悍	⿰忄旱
U+6094		悔	⿰忄每
U+6096		悖	⿰忄孛
U+609A		悚	⿰忄束
U+609F		悟	⿰忄吾
U+60A0		悠	⿱攸心
U+60A3		患	⿱串心
U+60A8		您	⿱你心
U+60B2		悲	⿱非心
U+60B4		悴	⿰忄卒
U+60B5		悵	⿰忄長
U+60B6		悶	⿵門心
U+60B8		悸	⿰忄季
U+60BB		悻	⿰忄幸
U+60BC		悼	⿰忄卓
U+60BD		悽	⿰忄妻
U+60C5		情	⿰忄青
U+60C6		惆	⿰忄周
U+60CB		惋	⿰忄宛
U+60D1		惑	⿱或心
U+60D5		惕	⿰忄易
U+60D8		惘	⿰忄罔
U+60DA		惚	⿰忄忽
U+60DC		惜	⿰忄昔
U+60DF		惟	⿰忄隹
U+60E0		惠	惠
U+60E1		惡	⿱亞心
U+60E6		惦	⿰忄店
U+60F0		惰	⿰忄⿱左月
U+60F1		惱	⿰忄𡿺
U+60F3		想	⿱相心
U+60F4		惴	⿰忄耑
U+60F6		惶	⿰忄皇
U+60F9		惹	⿱若心
U+60FA		惺	⿰忄星
U+60FB		惻	⿰忄則
U+6100		愀	⿰忄秋
U+6101		愁	⿱秋心
U+6108		愈	⿱俞心
U+6109		愉	⿰忄俞
U+610E		愎	⿰忄复
U+610F		意	⿱音心
U+6115		愕	⿰忄咢
U+611A		愚	⿱禺心
U+611B		愛	⿱⿱爫冖𢖻
U+611C		愜	⿰忄匧
U+611F		感	⿱咸心
U+6123		愣	⿰忄𬙙
U+6127		愧	⿰忄鬼
U+6134		愴	⿰忄倉
U+613E		愾	⿰忄氣
U+613F		愿	⿸原心
U+6144		慄	⿰忄栗
U+6147		慇	⿱殷心
U+6148		慈	⿱兹心
U+614B		態	⿱能心
U+614C		慌	⿰忄荒
U+614D		慍	⿰忄𥁕
U+614E		慎	⿰忄真
U+6155		慕	⿱莫㣺
U+6158		慘	⿰忄參
U+615A		慚	⿰忄斬
U+615D		慝	⿱匿心
U+615F		慟	⿰忄動
U+6162		慢	⿰忄曼
U+6163		慣	⿰忄貫
U+6167		慧	⿱彗心
U+6168		慨	⿰忄既
U+616B		慫	⿱從心
U+616E		慮	⿸虍思
U+6170		慰	⿱尉心
U+6176		慶	慶
U+6177		慷	⿰忄康
U+617C		慼	⿱戚心
U+617E		慾	⿱欲心
U+6182		憂	⿱㥑夂
U+618A		憊	⿱備心
U+618E		憎	⿰忄曾
U+6190		憐	⿰忄粦
U+6191		憑	⿱馮心
U+6194		憔	⿰忄焦
U+619A		憚	⿰忄單
U+61A4		憤	⿰忄賁
U+61A7		憧	⿰忄童
U+61A9		憩	⿱⿰舌自心
U+61AB		憫	⿰忄閔
U+61AC		憬	⿰忄景
U+61B2		憲	⿳𫲸罒心
U+61B6		憶	⿰忄意
U+61BE		憾	⿰忄感
U+61C2		懂	⿰忄董
U+61C7		懇	⿱貇心
U+61C8		懈	⿰忄解
U+61C9		應	⿸䧹心
U+61CA		懊	⿰忄奥
U+61CD		懍	⿰忄稟
U+61E3		懣	⿱滿心
U+61E6		懦	⿰忄需
U+61F2		懲	⿱徵心
U+61F5		懵	⿰忄瞢
U+61F6		懶	⿰忄賴
U+61F7		懷	⿰忄褱
U+61F8		懸	⿱縣心
U+61FA		懺	⿰忄韱
U+61FC		懼	⿰忄瞿
U+61FE		懾	⿰忄聶
U+61FF		懿	⿰壹恣
U+6200		戀	⿱䜌心
U+6208		戈	⿺𭠍丶
U+620A		戊	戊
U+620C		戌	⿵戊一
U+620D		戍	⿵戊丶
U+620E		戎	⿹戈𠂇
U+6210		成	⿵戊𠃌
U+6211		我	我
U+6212		戒	⿹戈廾
U+6215		戕	⿰爿戈
U+6216		或	⿹戈⿱口一
U+621A		戚	⿵戊尗
U+621B		戛	⿱𦣻戈
U+621F		戟	⿰𠦝戈
U+6221		戡	⿰甚戈
U+6222		戢	⿰咠戈
U+622A		截	⿹𢦏隹
U+622E		戮	⿰翏戈
U+6230		戰	⿰單戈
U+6232		戲	⿰䖒戈
U+6233		戳	⿰翟戈
U+6234		戴	⿹𢦏異
U+6236		戶	⿱丿尸
U+623E		戾	⿸户犬
U+623F		房	⿸户方
U+6240		所	⿰戶斤
U+6241		扁	⿸户𠕁
U+6247		扇	⿸户羽
U+6248		扈	⿸户邑
U+6249		扉	⿸户非
U+624B		手	手
U+624D		才	才
U+624E		扎	⿰扌乚
U+6252		扒	⿰扌八
U+6253		打	⿰扌丁
U+6254		扔	⿰扌乃
U+6258		托	⿰扌乇
U+625B		扛	⿰扌工
U+6263		扣	⿰扌口
U+626D		扭	⿰扌丑
U+626E		扮	⿰扌分
U+626F		扯	⿰扌止
U+6273		扳	⿰扌反
U+6276		扶	⿰扌夫
U+6279		批	⿰扌比
U+627C		扼	⿰扌厄
U+627E		找	⿰扌戈
U+627F		承	承
U+6280		技	⿰扌支
U+6284		抄	⿰扌少
U+6289		抉	⿰扌夬
U+628A		把	⿰扌巴
U+6291		抑	⿰扌卬
U+6292		抒	⿰扌予
U+6293		抓	⿰扌爪
U+6295		投	⿰扌殳
U+6296		抖	⿰扌斗
U+6297		抗	⿰扌亢
U+6298		折	⿰扌斤
U+62A8		抨	⿰扌平
U+62AB		披	⿰扌皮
U+62AC		抬	⿰扌台
U+62B1		抱	⿰扌包
U+62B5		抵	⿰扌氐
U+62B9		抹	⿰扌末
U+62BC		押	⿰扌甲
U+62BD		抽	⿰扌由
U+62BF		抿	⿰扌民
U+62C2		拂	⿰扌弗
U+62C4		拄	⿰扌主
U+62C6		拆	⿰扌斥
U+62C7		拇	⿰扌母
U+62C8		拈	⿰扌占
U+62C9		拉	⿰扌立
U+62CB		拋	⿰扌𡯄
U+62CC		拌	⿰扌半
U+62CD		拍	⿰扌白
U+62CE		拎	⿰扌令
U+62D0		拐	⿰扌另
U+62D2		拒	⿰扌巨
U+62D3		拓	⿰扌石
U+62D4		拔	⿰扌犮
U+62D6		拖	⿰扌㐌
U+62D7		拗	⿰扌幼
U+62D8		拘	⿰扌句
U+62D9		拙	⿰扌出
U+62DA		拚	⿰扌弁
U+62DB		招	⿰扌召
U+62DC		拜	⿰龵⿱一丰
U+62EC		括	⿰扌舌
U+62ED		拭	⿰扌式
U+62EE		拮	⿰扌吉
U+62EF		拯	⿰扌丞
U+62F1		拱	⿰扌共
U+62F3		拳	⿱龹手
U+62F4		拴	⿰扌全
U+62F7		拷	⿰扌考
U+62FC		拼	⿰扌并
U+62FD		拽	⿰扌曳
U+62FE		拾	⿰扌合
U+62FF		拿	⿱合手
U+6301		持	⿰扌寺
U+6307		指	⿰扌旨
U+6308		挈	⿱㓞手
U+6309		按	⿰扌安
U+6311		挑	⿰扌兆
U+6316		挖	⿰扌穵
U+6328		挨	⿰扌矣
U+632A		挪	⿰扌那
U+632B		挫	⿰扌坐
U+632F		振	⿰扌辰
U+633A		挺	⿰扌廷
U+633D		挽	⿰扌免
U+633E		挾	⿰扌夾
U+6342		捂	⿰扌吾
U+6346		捆	⿰扌困
U+6349		捉	⿰扌足
U+634E		捎	⿰扌肖
U+634F		捏	⿰扌圼
U+6350		捐	⿰扌肙
U+6355		捕	⿰扌甫
U+6367		捧	⿰扌奉
U+6368		捨	⿰扌舍
U+6369		捩	⿰扌戾
U+636B		捫	⿰扌門
U+6371		捱	⿰扌厓
U+6372		捲	⿰扌卷
U+6376		捶	⿰扌垂
U+6377		捷	⿰扌疌
U+637B		捻	⿰扌念
U+6380		掀	⿰扌欣
U+6383		掃	⿰扌帚
U+6384		掄	⿰扌侖
U+6388		授	⿰扌受
U+6389		掉	⿰扌卓
U+638C		掌	⿱𫩠手
U+638F		掏	⿰扌匋
U+6392		排	⿰扌非
U+6396		掖	⿰扌夜
U+6398		掘	⿰扌屈
U+6399		掙	⿰扌爭
U+639B		掛	⿰扌卦
U+63A0		掠	⿰扌京
U+63A1		採	⿰扌采
U+63A2		探	⿰扌罙
U+63A3		掣	⿱制手
U+63A5		接	⿰扌妾
U+63A7		控	⿰扌空
U+63A8		推	⿰扌隹
U+63A9		掩	⿰扌奄
U+63AA		措	⿰扌昔
U+63AC		掬	⿰扌匊
U+63C0		揀	⿰扌柬
U+63C6		揆	⿰扌癸
U+63C9		揉	⿰扌柔
U+63CD		揍	⿰扌奏
U+63CF		描	⿰扌苗
U+63D0		提	⿰扌是
U+63D2		插	⿰扌臿
U+63D6		揖	⿰扌咠
U+63DA		揚	⿰扌昜
U+63DB		換	⿰扌奐
U+63E1		握	⿰扌屋
U+63E3		揣	⿰扌耑
U+63E9		揩	⿰扌皆
U+63EA		揪	⿰扌秋
U+63ED		揭	⿰扌曷
U+63EE		揮	⿰扌軍
U+63F4		援	⿰扌爰
U+640D		損	⿰扌員
U+640F		搏	⿰扌尃
U+6413		搓	⿰扌差
U+6414		搔	⿰扌蚤
U+6416		搖	⿰扌䍃
U+6417		搗	⿰扌島
U+641C		搜	⿰扌叟
U+641E		搞	⿰扌高
U+642A		搪	⿰扌唐
U+642C		搬	⿰扌般
U+642D		搭	⿰扌荅
U+6436		搶	⿰扌倉
U+643D		搽	⿰扌茶
U+643E		搾	⿰扌窄
U+6451		摑	⿰扌國
U+6452		摒	⿰扌屏
U+6454		摔	⿰扌率
U+6458		摘	⿰扌啇
U+645F		摟	⿰扌婁
U+6467		摧	⿰扌崔
U+6469		摩	⿸麻手
U+646F		摯	⿱執手
U+6478		摸	⿰扌莫
U+6479		摹	⿱莫手
U+647A		摺	⿰扌習
U+6487		撇	⿰扌敝
U+6488		撈	⿰扌勞
U+6490		撐	⿰扌牚
U+6492		撒	⿰扌散
U+6493		撓	⿰扌堯
U+6495		撕	⿰扌斯
U+649A		撚	⿰扌然
U+649E		撞	⿰扌童
U+64A4		撤	⿲扌育攵
U+64A5		撥	⿰扌發
U+64A9		撩	⿰扌尞
U+64AB		撫	⿰扌無
U+64AC		撬	⿰扌毳
U+64AD		播	⿰扌番
U+64AE		撮	⿰扌最
U+64B0		撰	⿰扌巽
U+64B2		撲	⿰扌菐
U+64BB		撻	⿰扌達
U+64BC		撼	⿰扌感
U+64BF		撿	⿰扌僉
U+64C1		擁	⿰扌雍
U+64C2		擂	⿰扌雷
U+64C4		擄	⿰扌虜
U+64C5		擅	⿰扌亶
U+64C7		擇	⿰扌睪
U+64CA		擊	⿱𣪠手
U+64CB		擋	⿰扌當
U+64CD		操	⿰扌喿
U+64CE		擎	⿱敬手
U+64D2		擒	⿰扌禽
U+64D4		擔	⿰扌詹
U+64D8		擘	⿱辟手
U+64DA		據	⿰扌豦
U+64E0		擠	⿰扌齊
U+64E6		擦	⿰扌察
U+64EC		擬	⿰扌疑
U+64F0		擰	⿰扌寧
U+64F1		擱	⿰扌閣
U+64F2		擲	⿰扌鄭
U+64F4		擴	⿰扌廣
U+64FA		擺	⿰扌罷
U+64FB		擻	⿰扌數
U+64FE		擾	⿰扌憂
U+6500		攀	⿱樊手
U+6506		攆	⿰扌輦
U+650F		攏	⿰扌龍
U+6514		攔	⿰扌闌
U+6518		攘	⿰扌襄
U+6519		攙	⿰扌毚
U+651C		攜	⿰扌巂
U+651D		攝	⿰扌聶
U+6523		攣	⿱䜌手
U+6524		攤	⿰扌難
U+652A		攪	⿰扌覺
U+652B		攫	⿰扌矍
U+652C		攬	⿰扌覽
U+652F		支	⿱十又
U+6536		收	⿰丩攵
U+6539		改	⿰己攵
U+653B		攻	⿰工攵
U+653E		放	⿰方攵
U+653F		政	⿰正攵
U+6545		故	⿰古攵
U+6548		效	⿰交攵
U+654F		敏	⿰每攵
U+6551		救	⿰求攵
U+6556		敖	⿰𫠤攵
U+6557		敗	⿰貝攵
U+6558		敘	⿰余攵
U+6559		教	⿰孝攵
U+655D		敝	⿰㡀攵
U+655E		敞	⿰尚攵
U+6562		敢	⿰⿱乛耳攵
U+6563		散	⿰⿱龷⺼攵
U+6566		敦	⿰享攵
U+656C		敬	⿰苟攵
U+6572		敲	⿰高攴
U+6574		整	⿱敕正
U+6575		敵	⿰啇攵
U+6577		敷	⿰旉攵
U+6578		數	⿰婁攵
U+6582		斂	⿰僉攵
U+6583		斃	⿱敝死
U+6587		文	⿱亠乂
U+6590		斐	⿱非文
U+6591		斑	⿲王文王
U+6597		斗	斗
U+6599		料	⿰米斗
U+659C		斜	⿰余斗
U+659F		斟	⿰甚斗
U+65A1		斡	⿰𠦝⿱人斗
U+65A4		斤	⿸𠂆丅
U+65A5		斥	斥
U+65A7		斧	⿱父斤
U+65AB		斫	⿰石斤
U+65AC		斬	⿰車斤
U+65AF		斯	⿰其斤
U+65B0		新	⿰亲斤
U+65B7		斷	⿰㡭斤
U+65B9		方	⿱亠⿰丿𠃌
U+65BC		於	⿰方仒
U+65BD		施	⿰方㐌
U+65C1		旁	⿱⿱⿱亠丷冖方
U+65C5		旅	旅
